INDEXCODE,SECUCODE,TRADEDATE,NAME,CLOSE,PCTCHANGE,WEIGHT,CONTRIBUTEPT,SHRMARKETVALUE,MV,TOTALTRADABLE,SHARETOTAL
000016.SH,600809.SH,2025/9/23,山西汾酒,193.81,-1.117346938776,1.086,-0.495511,2364.4126586582,2364.4126586582,12.19964222,12.19964222
000016.SH,600031.SH,2025/9/23,三一重工,21.63,0.231696014829,1.375,0.130094,1833.0105650031,1833.0105650031,84.74390037,84.74390037
000016.SH,601288.SH,2025/9/23,农业银行,6.65,2.465331278891,2.4699999999999998,2.48661,21229.7400166705,23273.871752554503,3192.44210777,3499.83033873
000016.SH,601398.SH,2025/9/23,工商银行,7.4,3.064066852368,2.87,3.591001,19951.303727886,26374.063024586,2696.12212539,3564.06257089
000016.SH,600406.SH,2025/9/23,国电南瑞,22.32,0,0.963,0,1784.7796859856,1792.7620994088,79.96324758,80.32088259
000016.SH,601166.SH,2025/9/23,兴业银行,20.41,1.390958768008,4.104,2.331079,4319.3348514797,4319.3348514797,211.62836117,211.62836117
000016.SH,600900.SH,2025/9/23,长江电力,27.32,0.737463126844,3.787,1.140436,6558.7824766196,6684.7170800112,240.07256503,244.68217716
000016.SH,600760.SH,2025/9/23,中航沈飞,63.74,0,0.771,0,1751.6937506634,1807.0893707036,27.48185991,28.35094714
000016.SH,600150.SH,2025/9/23,中国船舶,35.07,-1.956947162427,0.9209999999999999,-0.735994,2639.2353857016,2639.2353857016,75.25621288,75.25621288
000016.SH,600309.SH,2025/9/23,万华化学,63.34,-1.185647425897,1.424,-0.689447,1982.8407279084,1982.8407279084,31.30471626,31.30471626
000016.SH,600276.SH,2025/9/23,恒瑞医药,69.7,-1.900070372977,3.259,-2.528654,4446.164584978,4626.128312178,63.79002274,66.37199874
000016.SH,601899.SH,2025/9/23,紫金矿业,25.82,1.773748521876,4.189,3.034155,5315.805679388,6862.329591308,205.8793834,265.7757394
000016.SH,600519.SH,2025/9/23,贵州茅台,1447.42,-0.408022843775,10.244,-1.706827,18125.609545953,18125.609545953,12.52270215,12.52270215
000016.SH,600028.SH,2025/9/23,中国石化,5.36,0.751879699248,0.918,0.281855,5083.5218120136,6495.120094212801,948.41824851,1211.77613698
