INDEXCODE,SECUCODE,TRADEDATE,NAME,CLOSE,PCTCHANGE,WEIGHT,CONTRIBUTEPT,SHRMARKETVALUE,MV,TOTALTRADABLE,SHARETOTAL
000905.SH,002500.SZ,2025/9/23,山西证券,6.29,-1.872074882995,0.164,-0.199502,225.79663030630002,225.7966303063,35.89771547,35.89771547
000905.SH,600808.SH,2025/9/23,马钢股份,3.7,-5.37084398977,0.099,-0.345507,220.806793882,285.717869682,59.67751186,77.22104586
000905.SH,000021.SZ,2025/9/23,深科技,22.73,-2.530017152659,0.272,-0.447169,356.1857703458,356.2428965183,15.67029346,15.67280671
000905.SH,600486.SH,2025/9/23,扬农化工,68.25,-2.234636871508,0.20400000000000001,-0.296222,275.722256355,276.68473833,4.03988654,4.05398884
000905.SH,600498.SH,2025/9/23,烽火通信,28.06,-5.362563237774,0.23800000000000002,-0.829333,327.3453571544,356.648613258,11.66590724,12.7102143
000905.SH,600499.SH,2025/9/23,科达制造,11.49,1.322751322751,0.155,0.133226,220.3616993259,220.3616993259,19.17856391,19.17856391
000905.SH,600511.SH,2025/9/23,国药股份,29.11,0.310130944176,0.127,0.025593,161.0791440264,219.6358227178,5.53346424,7.54502998
000905.SH,600816.SH,2025/9/23,建元信托,3.13,-4.573170731707,0.136,-0.404144,171.1840168647,308.1312303502,54.69137919,98.44448254
000905.SH,600820.SH,2025/9/23,隧道股份,6.48,-0.460829493088,0.16199999999999998,-0.04851,203.7374268912,203.7374268912,31.44096094,31.44096094
000905.SH,000027.SZ,2025/9/23,深圳能源,6.7,2.918586789555,0.108,0.204822,318.745124372,318.745124372,47.57389916,47.57389916
000905.SH,000032.SZ,2025/9/23,深桑达A,22,-4.306220095694,0.13799999999999998,-0.386149,239.66002808,250.35103148,10.89363764,11.37959234
000905.SH,000825.SZ,2025/9/23,太钢不锈,3.83,-1.794871794872,0.108,-0.125961,218.16629058680002,218.1662905868,56.96247796,56.96247796
000905.SH,000039.SZ,2025/9/23,中集集团,7.75,-1.021711366539,0.17099999999999999,-0.113528,178.3590534275,417.9203298375,23.01407141,53.92520385
000905.SH,000830.SZ,2025/9/23,鲁西化工,13.65,-2.220630372493,0.19,-0.274163,259.9190588085,259.9395450015,19.04168929,19.04319011
000905.SH,000831.SZ,2025/9/23,中国稀土,49.1,-4.269838175083,0.494,-1.370623,521.0594162369999,521.059416237,10.61220807,10.61220807
000905.SH,000783.SZ,2025/9/23,长江证券,7.78,-2.261306532663,0.32299999999999995,-0.474615,430.23967535440005,430.2396753544,55.30072948,55.30072948
000905.SH,600208.SH,2025/9/23,衢州发展,4.34,-4.615384615385,0.23600000000000002,-0.707782,369.24617302580003,369.28803072,85.07976337,85.089408
000905.SH,600435.SH,2025/9/23,北方导航,14.18,-0.839160839161,0.209,-0.113965,214.17499197240002,214.1749919724,15.10401918,15.10401918
000905.SH,000591.SZ,2025/9/23,太阳能,4.54,-0.656455142232,0.147,-0.062705,177.8779394752,177.9029968702,39.18016288,39.18568213
000905.SH,000582.SZ,2025/9/23,北部湾港,8.56,0.234192037471,0.089,0.013544,158.6495003128,202.8424317056,18.53382013,23.69654576
000905.SH,600580.SH,2025/9/23,卧龙电驱,52.79,1.911196911197,0.415,0.515387,824.6418340569,824.6418340569,15.62117511,15.62117511
000905.SH,600582.SH,2025/9/23,天地科技,5.91,-0.838926174497,0.116,-0.063236,244.5906035172,244.5906035172,41.38588892,41.38588892
000905.SH,600583.SH,2025/9/23,海油工程,5.24,-0.757575757576,0.13899999999999998,-0.068426,231.67899152,231.67899152,44.213548,44.213548
000905.SH,600528.SH,2025/9/23,中铁工业,8.31,-0.479041916168,0.108,-0.033618,184.6109369628,184.6109369628,22.21551588,22.21551588
000905.SH,600529.SH,2025/9/23,山东药玻,21.46,-0.694123091161,0.168,-0.075775,142.4115886498,142.4115886498,6.63614113,6.63614113
000905.SH,600535.SH,2025/9/23,天士力,16.19,3.055378739656,0.14100000000000001,0.279939,241.8705058095,241.8705058095,14.93950005,14.93950005
000905.SH,600536.SH,2025/9/23,中国软件,48.11,-3.140728810147,0.344,-0.702051,405.8828510845,449.2447255624,8.43655895,9.33786584
000905.SH,000893.SZ,2025/9/23,亚钾国际,36.75,0.850713501647,0.214,0.118298,298.340202195,339.5888112225,8.11810074,9.24051187
000905.SH,600598.SH,2025/9/23,北大荒,14.3,-0.487125956855,0.121,-0.038301,254.20822698700002,254.208226987,17.77679909,17.77679909
000905.SH,600895.SH,2025/9/23,张江高科,46.16,10.009532888465,0.335,2.178904,714.87509628,714.87509628,15.4868955,15.4868955
000905.SH,600606.SH,2025/9/23,绿地控股,1.83,-5.181347150259,0.09,-0.303015,257.1921951462,257.1921951462,140.54218314,140.54218314
000905.SH,600612.SH,2025/9/23,老凤祥,52.23,-0.133843212237,0.068,-0.005914,165.626359749,273.2244081372,3.1710963,5.23117764
000905.SH,600361.SH,2025/9/23,创新新材,4.12,-1.199040767386,0.086,-0.067006,60.5335879728,154.7501731156,14.69261844,37.56072163
000905.SH,600363.SH,2025/9/23,联创光电,59.88,-1.12285336856,0.27599999999999997,-0.201378,271.56445266,271.56445266,4.5351445,4.5351445
000905.SH,600369.SH,2025/9/23,西南证券,4.63,-2.114164904863,0.22200000000000003,-0.30498,307.6685524412,307.6685524412,66.45109124,66.45109124
000905.SH,600373.SH,2025/9/23,中文传媒,10.37,0.581959262852,0.082,0.031009,139.7210991603,141.8102808403,13.47358719,13.67505119
000905.SH,600378.SH,2025/9/23,昊华科技,29.14,-0.546075085324,0.134,-0.047548,312.5455467782,375.905889268,10.72565363,12.8999962
000905.SH,600380.SH,2025/9/23,健康元,12.33,-1.36,0.155,-0.136978,225.57160249380001,225.5716024938,18.29453386,18.29453386
000905.SH,600271.SH,2025/9/23,航天信息,8.16,-1.449275362319,0.117,-0.110183,151.1953864608,151.1953864608,18.52884638,18.52884638
000905.SH,600546.SH,2025/9/23,山煤国际,10.18,0.992063492063,0.11199999999999999,0.0722,201.814035052,201.814035052,19.8245614,19.8245614
000905.SH,600352.SH,2025/9/23,浙江龙盛,10.03,-0.496031746032,0.313,-0.100887,326.30918555799997,326.309185558,32.5333186,32.5333186
000905.SH,600390.SH,2025/9/23,五矿资本,5.87,-2.491694352159,0.165,-0.267152,264.0364424433,264.0364424433,44.98065459,44.98065459
000905.SH,600348.SH,2025/9/23,华阳股份,7.66,-0.777202072539,0.14400000000000002,-0.072724,276.3345,276.3345,36.075,36.075
000905.SH,600487.SH,2025/9/23,亨通光电,22.04,-3.629208570179,0.461,-1.087157,538.91791995,543.6683184028,24.45181125,24.66734657
000905.SH,600517.SH,2025/9/23,国网英大,5.75,-1.541095890411,0.11499999999999999,-0.115161,328.81005528,328.81005528,57.18435744,57.18435744
000905.SH,600021.SH,2025/9/23,上海电力,18.8,-4.374364191251,0.246,-0.699245,529.54780526,529.54780526,28.16743645,28.16743645
000905.SH,000921.SZ,2025/9/23,海信家电,25.13,0.479808076769,0.134,0.041778,230.72417495189998,348.0156122723,9.18122463,13.84861171
000905.SH,000932.SZ,2025/9/23,华菱钢铁,6.24,-1.26582278481,0.281,-0.231131,431.09330677919996,431.0986679376,69.08546583,69.08632499
000905.SH,600170.SH,2025/9/23,上海建工,3.5,7.692307692308,0.147,0.734774,311.00789104,311.00789104,88.85939744,88.85939744
000905.SH,600171.SH,2025/9/23,上海贝岭,36.44,-1.300108342362,0.248,-0.209513,258.3316516132,258.3316516132,7.08923303,7.08923303
000905.SH,600177.SH,2025/9/23,雅戈尔,7.4,-0.403768506057,0.197,-0.051687,342.134700748,342.134700748,46.23441902,46.23441902
000905.SH,000933.SZ,2025/9/23,神火股份,19.01,-1.14404576183,0.347,-0.25796,427.2793008549,427.6015431669,22.47655449,22.49350569
000905.SH,000937.SZ,2025/9/23,冀中能源,5.97,1.015228426396,0.073,0.048158,204.97381445189998,210.952746945,34.33397227,35.3354685
000905.SH,600295.SH,2025/9/23,鄂尔多斯,9.62,-1.535312180143,0.07100000000000001,-0.070833,190.05043563479998,269.2422756348,19.75576254,27.98776254
000905.SH,000951.SZ,2025/9/23,中国重汽,16.89,1.016746411483,0.121,0.079942,198.435434904,198.435434904,11.7486936,11.7486936
