INDEXCODE,SECUCODE,TRADEDATE,NAME,CLOSE,PCTCHANGE,WEIGHT,CONTRIBUTEPT,SHRMARKETVALUE,MV,TOTALTRADABLE,SHARETOTAL
000300.SH,600415.SH,2025/9/23,小商品城,18.27,-5.824742268041,0.258,-0.35974,1001.7186181002,1001.8621106802,54.82860526,54.83645926
000300.SH,600426.SH,2025/9/23,华鲁恒升,25.05,-1.571709233792,0.17099999999999999,-0.064337,530.923866276,531.866609499,21.19456552,21.23219998
000300.SH,601377.SH,2025/9/23,兴业证券,6.28,-1.25786163522,0.197,-0.059319,542.3400020632,542.3400020632,86.35987294,86.35987294
000300.SH,601901.SH,2025/9/23,方正证券,8.01,-1.717791411043,0.149,-0.06127,659.3913217395,659.3913217395,82.32101395,82.32101395
000300.SH,601688.SH,2025/9/23,华泰证券,19.51,-1.910507792861,0.46499999999999997,-0.212664,1425.5485064806,1761.1411246486,73.06758106,90.26863786
000300.SH,601788.SH,2025/9/23,光大证券,18.26,-1.51024811219,0.164,-0.05929,713.3632080014,841.9298228814,39.06698839,46.10787639
000300.SH,600809.SH,2025/9/23,山西汾酒,193.81,-1.117346938776,0.413,-0.110467,2364.4126586582,2364.4126586582,12.19964222,12.19964222
000300.SH,600183.SH,2025/9/23,生益科技,58.63,-1.46218487395,0.271,-0.094856,1403.8962552472,1424.276855859,23.94501544,24.2926293
000300.SH,600188.SH,2025/9/23,兖矿能源,13.78,2.529761904762,0.097,0.058741,816.3149473752001,1383.1648189632,59.23911084,100.37480544
000300.SH,000768.SZ,2025/9/23,中航西飞,24.66,-0.924065889916,0.168,-0.037163,683.7541963362,685.8313609086,27.72725857,27.81149071
000300.SH,000776.SZ,2025/9/23,广发证券,20.49,-0.533980582524,0.271,-0.034641,1209.7397038239,1558.4377452039,59.04049311,76.05845511
000300.SH,600196.SH,2025/9/23,复星医药,30.24,-1.78629425138,0.154,-0.065852,640.63102068,807.53782788,21.18488825,26.70429325
000300.SH,600031.SH,2025/9/23,三一重工,21.63,0.231696014829,0.523,0.029008,1833.0105650031,1833.0105650031,84.74390037,84.74390037
000300.SH,000786.SZ,2025/9/23,北新建材,24.1,-1.026694045175,0.11299999999999999,-0.027772,394.024267306,409.794072422,16.34955466,17.00390342
000300.SH,600219.SH,2025/9/23,南山铝业,3.82,-1.546391752577,0.11900000000000001,-0.044051,443.6422263936,443.6422263936,116.13670848,116.13670848
000300.SH,600585.SH,2025/9/23,海螺水泥,23.11,0.565709312446,0.245,0.033178,924.3312660069,1224.6688260069,39.99702579,52.99302579
